Loan_ID,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
LP001002,5849,0.0,126.0,360.0,1.0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
LP001003,4583,1508.0,128.0,360.0,1.0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LP001005,3000,0.0,66.0,360.0,1.0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1
LP001006,2583,2358.0,120.0,360.0,1.0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
LP001008,6000,0.0,141.0,360.0,1.0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
LP001011,5417,4196.0,267.0,360.0,1.0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1
LP001013,2333,1516.0,95.0,360.0,1.0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
LP001014,3036,2504.0,158.0,360.0,0.0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0
LP001018,4006,1526.0,168.0,360.0,1.0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
LP001020,12841,10968.0,349.0,360.0,1.0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
LP001024,3200,700.0,70.0,360.0,1.0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
LP001027,2500,1840.0,109.0,360.0,1.0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
LP001028,3073,8106.0,200.0,360.0,1.0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
LP001029,1853,2840.0,114.0,360.0,1.0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
LP001030,1299,1086.0,17.0,120.0,1.0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
LP001032,4950,0.0,125.0,360.0,1.0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
LP001034,3596,0.0,100.0,240.0,1.0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1
LP001036,3510,0.0,76.0,360.0,0.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
LP001038,4887,0.0,133.0,360.0,1.0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0
LP001041,2600,3500.0,115.0,360.0,1.0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
